s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0*t,r1*t,r2*t
1.291,2.425,1.398,1.680,0.596,0.706,0.094,0.068,0.413,0.727,0.008,0.008,0.006
1.066,0.607,2.512,2.246,1.065,0.564,0.236,0.090,0.736,0.435,0.009,0.008,0.007
0.264,2.258,2.245,1.501,1.075,1.131,0.235,0.051,0.169,0.731,0.005,0.003,0.007
1.787,2.044,1.299,0.514,1.281,1.805,0.306,0.074,0.484,0.282,0.006,0.011,0.008
1.336,2.454,1.430,0.945,0.629,1.197,0.382,0.074,0.418,0.735,0.007,0.009,0.009
1.130,3.155,0.871,1.016,1.615,1.245,0.070,0.079,0.717,0.701,0.007,0.004,0.007
0.494,1.730,1.851,0.685,1.141,1.549,0.336,0.089,0.588,0.508,0.007,0.013,0.009
2.126,1.430,2.181,0.515,1.722,1.145,0.268,0.060,0.502,0.707,0.005,0.008,0.004
1.181,1.930,3.021,1.035,1.136,2.056,0.257,0.052,0.445,0.307,0.007,0.007,0.004
0.871,1.402,1.451,1.093,2.180,1.706,0.433,0.062,0.206,0.262,0.008,0.009,0.004
1.425,1.752,0.615,1.571,1.876,1.068,0.330,0.060,0.690,0.445,0.007,0.003,0.007
1.558,1.736,2.356,1.311,1.923,1.020,0.177,0.053,0.693,0.664,0.005,0.003,0.004
1.463,2.052,0.785,0.749,1.432,3.022,0.432,0.046,0.370,0.375,0.004,0.007,0.004
0.564,1.907,1.773,2.028,0.552,1.499,0.491,0.076,0.729,0.652,0.011,0.005,0.005
1.755,1.041,1.176,1.254,0.700,2.275,0.410,0.056,0.681,0.270,0.007,0.008,0.006
1.523,1.124,1.514,1.559,1.336,1.519,0.482,0.075,0.161,0.614,0.006,0.008,0.005
1.030,1.844,1.331,1.213,0.938,2.725,0.038,0.049,0.633,0.627,0.005,0.006,0.003
2.748,1.005,1.681,0.938,2.178,0.870,0.343,0.066,0.535,0.307,0.006,0.003,0.007
2.255,2.092,0.647,1.214,0.541,1.925,0.291,0.108,0.653,0.682,0.012,0.009,0.008
1.693,1.665,2.425,0.720,1.121,1.427,0.405,0.080,0.676,0.358,0.013,0.007,0.008
1.353,3.832,1.818,0.313,0.690,0.592,0.075,0.069,0.541,0.371,0.008,0.005,0.004
1.466,1.308,0.573,2.765,1.114,1.358,0.445,0.084,0.336,0.724,0.010,0.009,0.006
1.499,0.617,1.044,0.836,2.967,0.978,0.261,0.054,0.708,0.728,0.004,0.008,0.006
1.238,1.379,1.760,1.069,2.109,1.291,0.242,0.066,0.741,0.449,0.005,0.004,0.008
2.259,1.294,1.149,0.994,2.071,0.403,0.089,0.084,0.750,0.546,0.005,0.005,0.011
1.950,0.393,2.330,1.285,2.400,0.571,0.098,0.044,0.638,0.710,0.003,0.002,0.005
1.428,0.566,0.927,1.879,0.924,1.781,0.289,0.089,0.593,0.648,0.006,0.009,0.006
0.851,1.585,0.851,1.024,1.726,2.308,0.363,0.074,0.734,0.584,0.007,0.005,0.008
0.597,1.438,1.394,2.418,0.342,1.511,0.205,0.055,0.679,0.709,0.008,0.004,0.006
1.638,0.532,2.142,1.547,0.500,1.514,0.064,0.091,0.615,0.272,0.007,0.013,0.012
1.686,1.024,2.081,0.807,1.671,1.754,0.343,0.069,0.590,0.624,0.010,0.008,0.009
1.133,2.203,1.314,0.823,1.514,1.783,0.293,0.044,0.643,0.646,0.005,0.004,0.007
1.023,0.623,1.849,2.429,0.983,1.083,0.465,0.090,0.464,0.741,0.007,0.007,0.005
1.048,1.418,0.617,1.237,2.382,1.365,0.058,0.069,0.605,0.723,0.005,0.009,0.004
1.638,0.933,0.640,1.363,2.509,0.876,0.134,0.069,0.754,0.619,0.008,0.005,0.008
1.141,0.988,1.506,1.147,1.637,1.525,0.260,0.072,0.450,0.529,0.007,0.010,0.010
1.058,1.367,1.924,1.657,1.313,0.789,0.193,0.077,0.695,0.516,0.004,0.010,0.010
1.145,0.856,1.622,1.101,1.292,1.856,0.486,0.065,0.341,0.640,0.007,0.007,0.007
1.280,1.586,0.320,2.594,1.444,3.466,0.303,0.032,0.666,0.681,0.005,0.004,0.004
1.410,1.416,1.143,2.306,0.170,0.324,0.160,0.110,0.366,0.471,0.006,0.008,0.016
1.628,1.277,0.839,1.750,0.791,1.453,0.172,0.078,0.643,0.701,0.007,0.005,0.005
1.017,0.531,2.259,1.200,0.748,1.261,0.448,0.087,0.636,0.687,0.009,0.008,0.009
0.431,1.187,0.936,1.810,1.475,1.747,0.485,0.109,0.695,0.512,0.015,0.013,0.007
1.195,2.098,1.795,0.917,1.450,0.270,0.451,0.096,0.699,0.483,0.011,0.012,0.007
1.146,1.550,0.885,1.499,1.270,1.517,0.148,0.060,0.624,0.553,0.007,0.009,0.004
1.731,0.801,0.866,0.386,3.478,1.572,0.448,0.066,0.708,0.604,0.004,0.003,0.005
1.514,1.510,1.760,0.849,0.985,1.999,0.177,0.069,0.662,0.696,0.004,0.007,0.006
1.287,1.663,0.878,1.672,0.730,2.501,0.142,0.062,0.701,0.570,0.008,0.007,0.009
0.661,1.098,1.182,3.291,2.856,1.539,0.311,0.069,0.687,0.681,0.006,0.008,0.009
0.903,2.822,1.380,0.745,1.839,3.121,0.317,0.060,0.583,0.362,0.007,0.004,0.005
1.297,2.628,0.864,1.192,1.717,0.551,0.472,0.070,0.404,0.728,0.004,0.010,0.009
2.792,1.943,0.577,1.050,1.285,0.645,0.482,0.065,0.738,0.730,0.004,0.009,0.007
0.945,0.970,0.895,1.286,1.663,2.419,0.470,0.077,0.557,0.400,0.008,0.010,0.006
1.525,0.939,1.026,0.624,2.346,1.750,0.414,0.069,0.637,0.739,0.006,0.010,0.008
1.153,1.526,1.255,1.581,1.292,1.138,0.059,0.067,0.738,0.739,0.010,0.009,0.005
1.780,1.482,0.888,1.377,1.344,1.508,0.149,0.080,0.431,0.545,0.008,0.011,0.005
1.739,1.083,1.003,1.381,1.412,1.456,0.246,0.079,0.623,0.720,0.006,0.009,0.009
0.560,1.263,2.059,0.509,1.299,1.083,0.271,0.130,0.682,0.706,0.019,0.008,0.011
1.285,2.413,0.445,1.264,1.268,1.165,0.241,0.060,0.730,0.585,0.007,0.008,0.008
0.523,2.284,1.285,1.840,0.438,1.511,0.178,0.082,0.228,0.635,0.009,0.005,0.005
