s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0.t,r1.t,r2.t
1.552,1.844,1.327,0.713,1.261,1.611,0.025,0.100,0.719,0.709,0.010,0.008,0.007
0.387,1.330,1.099,1.947,1.821,1.306,0.219,0.083,0.744,0.310,0.006,0.009,0.009
1.936,1.131,1.306,1.157,2.821,1.157,0.198,0.040,0.731,0.293,0.004,0.005,0.006
0.737,1.509,2.108,1.750,0.890,1.568,0.379,0.043,0.647,0.684,0.003,0.005,0.004
0.453,1.427,0.576,0.969,3.721,1.320,0.335,0.067,0.624,0.664,0.007,0.009,0.006
1.057,0.956,0.868,0.731,1.345,3.039,0.080,0.077,0.325,0.571,0.010,0.008,0.007
1.469,2.891,2.596,0.787,1.024,2.954,0.268,0.046,0.725,0.649,0.005,0.007,0.004
3.495,0.982,3.844,0.734,0.579,2.212,0.484,0.061,0.619,0.723,0.005,0.006,0.008
1.118,1.531,1.410,2.353,1.219,0.457,0.401,0.058,0.627,0.655,0.007,0.006,0.008
1.528,0.543,1.696,1.017,0.878,2.427,0.092,0.083,0.435,0.664,0.009,0.006,0.005
3.219,0.776,0.269,1.117,1.814,0.746,0.083,0.071,0.635,0.278,0.010,0.005,0.005
1.229,3.187,1.281,2.737,0.487,0.877,0.419,0.079,0.690,0.569,0.008,0.005,0.009
0.791,2.341,1.473,0.770,3.592,1.136,0.037,0.064,0.197,0.674,0.008,0.009,0.009
1.627,1.820,1.034,1.079,1.636,1.716,0.114,0.060,0.680,0.494,0.005,0.006,0.007
1.585,1.984,2.930,1.314,0.689,1.935,0.301,0.074,0.717,0.256,0.008,0.005,0.004
1.940,1.224,1.002,1.897,1.329,0.679,0.431,0.057,0.558,0.746,0.003,0.007,0.008
1.295,2.447,1.317,1.648,0.594,0.748,0.088,0.068,0.404,0.713,0.008,0.008,0.006
1.078,0.615,2.450,2.272,1.048,0.544,0.232,0.090,0.727,0.423,0.009,0.008,0.007
0.283,2.204,2.341,1.466,1.098,1.182,0.232,0.051,0.174,0.727,0.005,0.003,0.007
1.746,2.034,1.385,0.503,1.307,1.843,0.296,0.075,0.472,0.268,0.007,0.011,0.008
1.300,2.479,1.399,0.944,0.638,1.186,0.372,0.077,0.418,0.723,0.007,0.009,0.009
1.029,3.289,0.884,0.937,1.522,1.290,0.066,0.083,0.703,0.687,0.007,0.004,0.007
0.475,1.817,1.827,0.698,1.152,1.545,0.343,0.089,0.582,0.493,0.007,0.013,0.009
2.070,1.430,2.229,0.519,1.735,1.185,0.259,0.061,0.493,0.698,0.005,0.008,0.004
1.182,1.956,2.989,1.013,1.143,2.070,0.257,0.052,0.436,0.303,0.007,0.007,0.004
0.807,1.498,1.434,1.081,2.181,1.734,0.429,0.062,0.174,0.256,0.007,0.008,0.004
1.452,1.748,0.594,1.563,1.909,1.034,0.333,0.061,0.680,0.439,0.007,0.003,0.008
1.566,1.788,2.066,1.321,1.908,1.014,0.179,0.052,0.682,0.658,0.005,0.003,0.004
1.443,2.091,0.762,0.778,1.411,3.109,0.425,0.047,0.354,0.363,0.004,0.006,0.004
0.540,1.957,1.768,1.956,0.552,1.495,0.490,0.077,0.723,0.649,0.011,0.005,0.005
1.720,1.066,1.159,1.248,0.690,2.317,0.403,0.057,0.670,0.261,0.007,0.008,0.006
1.453,1.135,1.465,1.562,1.343,1.576,0.476,0.075,0.156,0.610,0.006,0.008,0.005
1.063,2.008,1.285,1.186,0.896,2.703,0.036,0.049,0.614,0.649,0.005,0.007,0.003
2.653,1.036,1.684,0.902,2.178,0.895,0.341,0.066,0.511,0.308,0.006,0.003,0.008
2.196,2.065,0.596,1.206,0.546,1.972,0.298,0.107,0.635,0.666,0.012,0.009,0.008
1.696,1.668,2.453,0.709,1.131,1.451,0.396,0.082,0.672,0.349,0.012,0.006,0.008
1.282,4.071,1.788,0.296,0.639,0.627,0.068,0.071,0.547,0.360,0.007,0.005,0.004
1.421,1.311,0.557,2.748,1.143,1.349,0.444,0.085,0.317,0.714,0.010,0.009,0.006
1.487,0.628,1.072,0.859,2.989,0.970,0.248,0.055,0.706,0.728,0.004,0.008,0.006
1.236,1.431,1.735,1.058,2.081,1.322,0.243,0.065,0.738,0.442,0.005,0.004,0.008
2.179,1.350,1.168,0.986,2.032,0.433,0.086,0.085,0.745,0.551,0.004,0.005,0.011
2.014,0.366,2.271,1.290,2.330,0.613,0.099,0.044,0.625,0.711,0.002,0.002,0.004
1.410,0.565,0.910,1.883,0.948,1.795,0.287,0.090,0.591,0.650,0.005,0.009,0.006
0.880,1.625,0.853,1.024,1.684,2.325,0.347,0.076,0.712,0.592,0.007,0.005,0.008
0.602,1.524,1.342,2.366,0.341,1.528,0.201,0.055,0.681,0.698,0.008,0.004,0.006
1.651,0.561,2.160,1.512,0.501,1.487,0.063,0.092,0.601,0.256,0.007,0.012,0.012
1.628,1.023,2.196,0.823,1.721,1.766,0.340,0.068,0.595,0.606,0.010,0.008,0.009
1.146,2.398,1.266,0.945,1.475,1.781,0.278,0.045,0.639,0.655,0.005,0.004,0.007
1.027,0.637,1.806,2.433,0.985,1.094,0.459,0.089,0.449,0.749,0.007,0.007,0.006
1.036,1.501,0.618,1.203,2.347,1.364,0.056,0.071,0.595,0.728,0.005,0.009,0.004
1.569,0.955,0.670,1.347,2.500,0.926,0.130,0.069,0.736,0.600,0.008,0.006,0.008
1.173,1.001,1.471,1.182,1.663,1.481,0.260,0.071,0.436,0.505,0.007,0.010,0.010
1.033,1.408,1.943,1.594,1.339,0.814,0.194,0.076,0.677,0.501,0.004,0.010,0.010
1.149,0.836,1.610,1.094,1.336,1.868,0.485,0.066,0.342,0.642,0.007,0.007,0.008
1.224,1.684,0.298,2.597,1.452,3.613,0.293,0.033,0.668,0.690,0.005,0.003,0.004
1.389,1.415,1.113,2.317,0.164,0.323,0.156,0.111,0.349,0.470,0.006,0.008,0.016
1.645,1.341,0.836,1.705,0.789,1.458,0.168,0.080,0.633,0.703,0.007,0.005,0.005
0.989,0.551,2.263,1.194,0.740,1.304,0.430,0.089,0.628,0.677,0.008,0.008,0.009
0.428,1.195,0.933,1.817,1.485,1.776,0.482,0.109,0.673,0.494,0.015,0.013,0.007
1.226,2.100,1.785,0.888,1.441,0.264,0.449,0.096,0.686,0.477,0.011,0.012,0.007
1.133,1.640,0.932,1.466,1.253,1.484,0.145,0.061,0.620,0.551,0.008,0.009,0.004
1.697,0.815,0.829,0.393,3.603,1.623,0.448,0.065,0.686,0.611,0.003,0.004,0.005
1.471,1.558,1.802,0.828,0.965,2.043,0.175,0.070,0.661,0.679,0.004,0.007,0.006
1.272,1.721,0.860,1.608,0.719,2.581,0.135,0.064,0.706,0.562,0.008,0.007,0.009
0.642,1.202,1.180,3.236,2.872,1.478,0.317,0.069,0.683,0.678,0.006,0.008,0.009
0.915,2.820,1.265,0.750,1.852,3.198,0.307,0.061,0.583,0.347,0.007,0.004,0.005
1.276,2.612,0.905,1.189,1.724,0.538,0.474,0.069,0.410,0.723,0.004,0.010,0.009
2.754,2.000,0.566,1.022,1.254,0.662,0.464,0.067,0.733,0.709,0.004,0.009,0.008
0.966,0.946,0.894,1.304,1.649,2.465,0.459,0.079,0.548,0.408,0.008,0.010,0.007
1.531,0.953,1.028,0.658,2.293,1.669,0.411,0.069,0.629,0.714,0.005,0.010,0.007
1.073,1.651,1.217,1.626,1.259,1.122,0.059,0.068,0.732,0.728,0.009,0.009,0.005
1.722,1.450,0.876,1.362,1.356,1.578,0.145,0.082,0.421,0.538,0.008,0.011,0.005
1.728,1.102,0.988,1.349,1.422,1.531,0.251,0.078,0.621,0.719,0.006,0.009,0.009
0.537,1.411,2.039,0.532,1.238,1.096,0.270,0.132,0.663,0.697,0.019,0.008,0.011
1.303,2.511,0.459,1.188,1.251,1.174,0.234,0.060,0.723,0.588,0.007,0.008,0.008
0.510,2.292,1.251,1.842,0.431,1.520,0.177,0.082,0.243,0.644,0.009,0.005,0.004
