s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0*t,r1*t,r2*t
0.852,1.028,2.396,0.960,2.066,1.138,0.365,0.078,0.521,0.594,0.011,0.011,0.009
3.759,0.676,1.283,1.114,0.841,1.801,0.284,0.075,0.320,0.764,0.011,0.005,0.011
1.517,0.841,2.241,0.870,0.697,1.249,0.069,0.115,0.701,0.653,0.011,0.010,0.017
1.810,1.911,1.850,1.132,0.655,0.959,0.235,0.067,0.660,0.388,0.010,0.006,0.004
1.290,0.984,2.195,1.274,2.585,1.116,0.029,0.054,0.480,0.739,0.004,0.008,0.005
1.217,2.223,1.328,0.757,0.829,2.556,0.445,0.059,0.638,0.500,0.006,0.006,0.006
1.618,1.698,1.301,0.725,1.295,1.663,0.026,0.100,0.727,0.718,0.009,0.008,0.007
0.371,1.290,1.134,1.915,1.925,1.284,0.223,0.082,0.757,0.320,0.006,0.009,0.009
1.944,1.100,1.279,1.182,2.804,1.078,0.195,0.040,0.738,0.316,0.004,0.005,0.006
0.739,1.513,2.127,1.744,0.910,1.534,0.372,0.044,0.657,0.678,0.003,0.005,0.004
0.446,1.404,0.581,0.972,3.712,1.293,0.338,0.066,0.645,0.654,0.007,0.009,0.006
1.041,0.899,0.887,0.708,1.333,3.094,0.082,0.076,0.332,0.578,0.010,0.008,0.007
1.501,2.891,2.631,0.791,0.990,2.975,0.267,0.046,0.714,0.647,0.005,0.007,0.005
3.630,1.014,3.720,0.740,0.572,2.137,0.484,0.061,0.639,0.730,0.005,0.006,0.008
1.123,1.505,1.422,2.360,1.205,0.481,0.403,0.058,0.641,0.667,0.007,0.006,0.008
1.549,0.496,1.734,1.032,0.901,2.421,0.096,0.082,0.467,0.686,0.009,0.006,0.005
3.277,0.735,0.296,1.131,1.807,0.737,0.085,0.070,0.649,0.302,0.010,0.005,0.005
1.349,3.154,1.259,2.878,0.505,0.873,0.426,0.078,0.705,0.580,0.007,0.005,0.010
0.755,2.314,1.463,0.768,3.720,1.115,0.040,0.063,0.219,0.689,0.008,0.008,0.009
1.692,1.835,0.970,1.092,1.585,1.724,0.113,0.060,0.680,0.500,0.005,0.005,0.008
1.645,1.955,2.929,1.321,0.647,1.927,0.304,0.073,0.729,0.270,0.007,0.005,0.004
1.928,1.175,0.998,1.946,1.370,0.659,0.432,0.057,0.584,0.750,0.003,0.007,0.008
1.292,2.430,1.383,1.679,0.601,0.704,0.095,0.068,0.425,0.727,0.008,0.008,0.006
1.070,0.607,2.512,2.245,1.061,0.565,0.236,0.090,0.737,0.439,0.009,0.008,0.007
0.270,2.255,2.246,1.501,1.076,1.126,0.235,0.051,0.175,0.735,0.005,0.003,0.007
1.790,2.045,1.296,0.512,1.280,1.808,0.305,0.074,0.484,0.289,0.007,0.011,0.008
1.335,2.449,1.434,0.943,0.628,1.199,0.383,0.074,0.420,0.735,0.007,0.009,0.009
1.124,3.151,0.875,1.024,1.611,1.247,0.070,0.079,0.718,0.704,0.007,0.004,0.007
0.500,1.723,1.849,0.682,1.142,1.555,0.336,0.089,0.588,0.509,0.008,0.013,0.008
2.125,1.432,2.180,0.516,1.720,1.143,0.268,0.060,0.510,0.710,0.005,0.008,0.004
1.182,1.934,3.021,1.032,1.131,2.064,0.257,0.052,0.450,0.310,0.007,0.008,0.004
0.875,1.406,1.450,1.098,2.178,1.702,0.433,0.062,0.208,0.265,0.007,0.009,0.004
1.423,1.755,0.619,1.572,1.872,1.065,0.329,0.060,0.691,0.447,0.007,0.003,0.007
1.564,1.738,2.344,1.311,1.919,1.019,0.178,0.053,0.701,0.672,0.005,0.003,0.004
1.467,2.049,0.785,0.756,1.429,3.022,0.430,0.046,0.375,0.381,0.004,0.007,0.004
0.564,1.908,1.773,2.024,0.551,1.501,0.491,0.076,0.729,0.656,0.011,0.005,0.005
1.758,1.041,1.178,1.256,0.697,2.271,0.411,0.056,0.682,0.281,0.007,0.009,0.006
1.526,1.130,1.500,1.557,1.335,1.520,0.481,0.076,0.158,0.615,0.007,0.008,0.005
1.026,1.844,1.326,1.214,0.936,2.730,0.038,0.049,0.637,0.630,0.005,0.007,0.003
2.749,1.003,1.681,0.939,2.175,0.871,0.343,0.066,0.545,0.323,0.006,0.004,0.007
2.253,2.093,0.647,1.213,0.540,1.930,0.291,0.108,0.653,0.683,0.012,0.009,0.008
1.685,1.668,2.421,0.725,1.115,1.430,0.405,0.080,0.677,0.363,0.013,0.007,0.008
1.350,3.840,1.813,0.311,0.691,0.592,0.075,0.069,0.542,0.375,0.008,0.005,0.004
1.471,1.308,0.572,2.763,1.111,1.359,0.445,0.084,0.344,0.725,0.010,0.009,0.006
1.507,0.616,1.045,0.834,2.964,0.976,0.261,0.054,0.712,0.730,0.004,0.008,0.006
1.239,1.374,1.766,1.072,2.108,1.288,0.242,0.066,0.744,0.460,0.005,0.004,0.008
2.260,1.296,1.144,0.993,2.072,0.402,0.089,0.084,0.751,0.548,0.005,0.005,0.011
1.949,0.393,2.335,1.284,2.399,0.572,0.098,0.044,0.644,0.718,0.003,0.002,0.005
1.428,0.566,0.924,1.880,0.922,1.781,0.290,0.089,0.598,0.650,0.006,0.009,0.007
0.850,1.585,0.851,1.027,1.729,2.305,0.362,0.074,0.737,0.590,0.007,0.005,0.008
0.600,1.437,1.390,2.418,0.342,1.513,0.205,0.055,0.684,0.713,0.008,0.004,0.005
1.633,0.536,2.139,1.549,0.503,1.514,0.064,0.091,0.614,0.271,0.007,0.013,0.012
1.688,1.028,2.074,0.808,1.670,1.751,0.343,0.069,0.592,0.625,0.010,0.008,0.009
1.130,2.210,1.310,0.824,1.511,1.795,0.294,0.044,0.646,0.646,0.005,0.004,0.007
1.022,0.622,1.854,2.426,0.984,1.083,0.465,0.090,0.463,0.741,0.007,0.007,0.005
1.049,1.419,0.617,1.234,2.381,1.368,0.058,0.069,0.610,0.727,0.005,0.009,0.004
1.633,0.935,0.646,1.363,2.507,0.874,0.134,0.069,0.755,0.623,0.009,0.005,0.008
1.146,0.988,1.507,1.144,1.635,1.523,0.260,0.072,0.451,0.532,0.006,0.010,0.010
1.059,1.368,1.923,1.655,1.316,0.788,0.193,0.076,0.695,0.520,0.004,0.010,0.010
1.146,0.858,1.622,1.099,1.289,1.858,0.486,0.065,0.344,0.640,0.007,0.007,0.007
1.292,1.579,0.320,2.594,1.447,3.459,0.302,0.032,0.673,0.685,0.005,0.004,0.004
1.406,1.410,1.149,2.307,0.170,0.331,0.160,0.110,0.366,0.471,0.006,0.008,0.016
1.627,1.280,0.834,1.749,0.791,1.458,0.172,0.078,0.647,0.708,0.007,0.005,0.005
1.022,0.531,2.256,1.198,0.749,1.264,0.448,0.087,0.638,0.691,0.009,0.008,0.009
0.431,1.187,0.940,1.810,1.473,1.747,0.486,0.109,0.698,0.518,0.015,0.013,0.008
1.194,2.101,1.795,0.919,1.449,0.268,0.451,0.096,0.699,0.482,0.011,0.012,0.007
1.144,1.553,0.884,1.492,1.276,1.520,0.149,0.060,0.629,0.562,0.007,0.009,0.004
1.729,0.800,0.865,0.387,3.482,1.572,0.447,0.066,0.712,0.607,0.004,0.004,0.005
1.511,1.510,1.769,0.850,0.985,1.995,0.177,0.069,0.666,0.699,0.004,0.007,0.006
1.285,1.658,0.879,1.672,0.732,2.504,0.142,0.062,0.703,0.572,0.008,0.007,0.009
0.653,1.094,1.184,3.301,2.860,1.540,0.312,0.069,0.688,0.682,0.006,0.008,0.009
0.905,2.817,1.380,0.744,1.835,3.130,0.317,0.060,0.586,0.367,0.006,0.004,0.005
1.299,2.632,0.865,1.190,1.716,0.549,0.472,0.070,0.407,0.728,0.004,0.010,0.009
2.791,1.943,0.576,1.052,1.287,0.645,0.482,0.065,0.740,0.732,0.004,0.009,0.007
0.948,0.962,0.894,1.286,1.663,2.427,0.469,0.078,0.564,0.409,0.008,0.010,0.006
1.520,0.941,1.028,0.626,2.345,1.750,0.413,0.069,0.637,0.741,0.006,0.009,0.008
1.150,1.525,1.258,1.586,1.292,1.135,0.059,0.068,0.740,0.740,0.010,0.009,0.005
1.781,1.478,0.887,1.377,1.343,1.510,0.148,0.080,0.430,0.543,0.008,0.012,0.005
1.736,1.084,1.000,1.384,1.413,1.453,0.246,0.079,0.628,0.721,0.006,0.009,0.008
0.570,1.276,2.043,0.511,1.320,1.097,0.270,0.130,0.684,0.709,0.018,0.008,0.011
1.281,2.412,0.442,1.265,1.274,1.166,0.241,0.060,0.731,0.587,0.007,0.008,0.008
0.519,2.282,1.292,1.840,0.439,1.512,0.178,0.082,0.231,0.637,0.009,0.005,0.005
